Director,Actor,Country,Genre
A. L. Vijay,  Jr.,Afghanistan,Action & Adventure
A. Raajdheep,'Najite Dede,Albania,Anime Features
A. Salaam,"""Riley"" Lakdhar Dridi",Algeria,Anime Series
A.R. Murugadoss,2 Chainz,Angola,British TV Shows
Aadish Keluskar,4Minute,Argentina,Children & Family Movies
Aamir Bashir,50 Cent,Armenia,Classic & Cult TV
Aamir Khan,A Boogie Wit tha Hoodie,Australia,Classic Movies
Aanand Rai,A. Murat Özgen,Austria,Comedies
Aaron Burns,A.C. Peterson,Azerbaijan,Crime TV Shows
Aaron Hancox,A.D. Miles,Bahamas,Cult Movies
Aaron Hann,A.J. Cook,Bangladesh,Documentaries
Aaron Lieber,A.J. LoCascio,Belarus,Docuseries
Aaron Moorhead,A.K. Hangal,Belgium,Dramas
Aaron Nee,A.R. Rahman,Bermuda,Faith & Spirituality
Aaron Sorkin,A.S. Sasi Kumar,Botswana,Horror Movies
Aaron Woodley,Aabhas Yadav,Brazil,Independent Movies
Aaron Woolf,Aachal Munjal,Bulgaria,International Movies
Aatmaram Dharne,Aadarsh Balakrishna,Cambodia,International TV Shows
Abba T. Makama,Aadhi,Canada,Kids' TV
Abbas Alibhai Burmawalla,Aaditi Pohankar,Cayman Islands,Korean TV Shows
Abbas Mustan,Aaditya Pratap Singh,Chile,LGBTQ Movies
Abbas Tyrewala,Aadukalam Naren,China,Movies
Abby Epstein,Aadya Bedi,Colombia,Music & Musicals
Abdellatif Kechiche,Aahana Kumra,Croatia,Reality TV
Abdul Aziz Hashad,Aakarshan Singh,Cuba,Romantic Movies
Abdullah Al Noor,Aakash Dabhade,Cyprus,Romantic TV Shows
Abel Ferrara,Aakash Dahiya,Czech Republic,Sci-Fi & Fantasy
Abhay Chopra,Aakash Pandey,Denmark,Science & Nature TV
Abhijeet Deshpande,Aakshath Das,Dominican Republic,Spanish-Language TV Shows
Abhijit Kokate,Aamina Sheikh,East Germany,Sports Movies
Abhijit Panse,Aamir Ahmed,Ecuador,Stand-Up Comedy
Abhinav Shiv Tiwari,Aamir Bashir,Egypt,Stand-Up Comedy & Talk Shows
Abhinay Deo,Aamir Khan,Finland,Teen TV Shows
Abhishek Chaubey,Aamir Qureshi,France,Thrillers
Abhishek Kapoor,Aanand Kale,Georgia,TV Action & Adventure
Abhishek Saxena,Aanchal Munjal,Germany,TV Comedies
Abhishek Sharma,Aarav Khanna,Ghana,TV Dramas
Abhishek Varman,Aarif Rahman,Greece,TV Horror
Abu Bakr Shawky,Aarjav Trivedi,Guatemala,TV Mysteries
Adam Alleca,Aarna Sharma,Hong Kong,TV Sci-Fi & Fantasy
Adam B. Stein,Aarohi Patel,Hungary,TV Shows
Adam Bhala Lough,Aaron Abrams,Iceland,TV Thrillers
Adam Bolt,Aaron Altaras,India,
Adam Carolla,Aaron Ashmore,Indonesia,
Adam Collins,Aaron Blakely,Iran,
Adam Darke,Aaron Burns,Iraq,
Adam Davis,Aaron Carpenter,Ireland,
Adam Del Giudice,Aaron Chen,Israel,
Adam Deyoe,Aaron D. Spears,Italy,
Adam Dubin,Aarón Díaz,Jamaica,
Adam Egypt Mortimer,Aaron Dismuke,Japan,
Adam Larson Broder,Aaron Douglas,Jordan,
Adam Leon,Aaron Eckhart,Kazakhstan,
Adam MacDonald,Aaron Eisenberg,Kenya,
